wrkstat,wrkslf,occ10,prestg10,indus10,marital,spwrksta,cowrksta,spocc10,sppres10,spind10,coocc10,coind10,pawrkslf,paocc10,papres10,paind10,maocc10,mapres10,maind10,sibs,childs,age,agekdbrn,degree,padeg,madeg,spdeg,major1,sex,race,reg16,mobile16,family16,incom16,born,parborn,granborn,maborn,paborn,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,size,partyid,vote16,vote20,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,eqwlth,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmslm,colmslm,libmslm,relig,jew,attend,postlife,relig16,jew16,sprel,happy,hapmar,hapcohab,health,life,helpful,fair,trust,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,confedvac,class,rank,satfin,finalter,finrela,premarsx,teensex,xmarsex,homosex,pornlaw,xmovie,reborn,marblk,marasian,marhisp,marwht,wordsum,sei10,partners,matesex,frndsex,acqntsex,pikupsex,paidsex,othersex,condom,idu30,evcrack,crack30,hivtest,sexornt,year,id,sampcode,sample,phase,sdastrata,sdaclusters,vpsu,vstrat,compwt,wtssnrps,wtssall,wtssnr,wtss,oversamp,formwt,wtssps
 1, 2, 430,39,6290, 3,.i,.i,  .i,.i,  .i,  .i,  .i, 1, 800,60,7280,2010,54,9480, 1, 0,72,27, 3, 3, 4,.i,44, 2, 1, 2, 3, 1, 4, 1,.i, 4, 1, 1, 0, 0, 0, 1,.i, 1,12,12, 1,  10, 0, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 3, 1, 2, 1, 1, 4, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 4,.i, 2,.i, 4,.i,.i, 3,.i,.i, 2, 2,.i,.i,.i, 2, 3, 3, 3, 1, 2, 2, 1, 2, 3, 1, 3, 2,.i, 3,.i, 3, 3, 3,.i,.i, 1, 4, 2, 2, 2,.i,.i,.i,.i,.i,67.7, 0,.i,.i,.i,.i,.i,.i, 2,.i, 2,.i, 2, 3,2022,   1, .i,10,.i,12,1.09700000000000000e+03,   1,2661,3.00999999999999990e-01,3.00990262611415149e-01,                     .y,                     .y,                     .y,1.0000,1.000,2.31094663493873725e-01
 5, 2,  50,53,6695, 1, 5,.i,2340,38,6695,  .i,  .i, 2,8900,35,1370,  .i,.i,  .i, 3, 0,80,24, 4, 1, 1, 3, 9, 1, 1, 3, 3, 1, 2, 1,.i,.i, 1, 1, 0, 0, 0, 2, 0, 0,.i,.i, 1,  10, 3, 1, 1, 5, 1, 1, 2, 1, 1, 2, 2, 3, 2, 2, 3, 1, 1, 2, 2, 2, 2, 2,.i, 1, 4, 2,.s, 4, 2, 1, 5, 2, 1, 5, 2, 2,.i, 2,.i, 2,.i, 2, 3, 2,.i, 2, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3, 4, 2, 2, 3, 4, 1, 2, 3,.i,.i, 2, 4, 3, 4, 2,10,73.9,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022,   2, .i,10,.i,12,1.09400000000000000e+03,   1,2661,7.41900000000000004e-01,7.41964891046645203e-01,                     .y,                     .y,                     .y,1.0000,1.000,5.76994223740721623e-01
 1, 2,4610,48,8290, 3,.i,.i,  .i,.i,  .i,  .i,  .i, 2,4220,24,7860,4720,28,4970, 1,.i,57,27, 1, 1, 0,.i,.i, 2, 1, 1, 2, 3, 2, 1,.i, 1, 1, 1,.i,.i,.i, 3, 1, 1,12,12, 1,  10, 5, 1, 1, 4,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 2, 1, 1, 2, 1, 3, 5,.i, 5,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 5,.i, 0,.i, 1,.i,.i, 3,.i,.i, 2, 2,.i,.i,.i, 3, 2, 1, 3, 3, 2, 3, 2, 3, 1, 2, 3, 2,.i, 2,.i, 2, 2, 3,.i,.i, 2, 4, 2,.i, 2,.i,.i,.i,.i,.i,20.1, 0,.i,.i,.i,.i,.i,.i, 2,.i, 2,.i, 2, 3,2022,   3, .i,10,.i,12,1.10300000000000000e+03,   1,2661,1.36379999999999990e+00,1.36383417290869735e+00,                     .y,                     .y,                     .y,1.0000,1.000,1.01414849696543286e+00
 3, 2,4120,34,8660, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 2,8965,35,2990,3255,64,8190, 1, 0,23,.i, 3, 1, 4,.i,44, 2, 1, 1, 1, 1, 4, 1,.i, 0, 1, 1, 0, 0, 0, 3, 0, 3,12, 5, 1,  10, 0, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 3, 1,.i, 1, 4, 2, 2, 5, 2, 1, 5, 2, 1, 4, 2, 4,.i, 4,.i, 2,.i,.i, 3,.i,.i, 2, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3, 4, 1, 3, 4, 4, 3, 3, 4,.i,.i, 2, 3, 3, 3, 3, 7,17.0,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022,   4, .i,10,.i,12,1.08900000000000000e+03,   1,2661,1.20229999999999992e+00,1.20229126240598627e+00,                     .y,                     .y,                     .y,1.0000,1.000,9.01812503763712692e-01
 8, 2,7330,38,3390, 5,.i, 7,  .i,48,  .i,3600,8270, 2,6260,28, 770,5700,47,3490, 2,.i,62,21, 1, 1, 3,.i,.i, 1, 1, 1, 1, 1, 3, 1,.i, 2, 1, 1,.i,.i,.i, 3, 0, 1,12,.i, 1,  10, 3, 1, 1, 5,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 1, 2, 2, 3, 3, 2, 1,.i, 4,.i,.i, 4,.i,.i,.i,.i,.i, 4,.i, 2,.i, 2,.i, 2,.i,.i, 2,.i, 2, 3, 2,.i,.i,.i, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 1, 3, 1,.i, 3,.i, 3, 2, 2,.i,.i, 1, 1, 1,.i, 2,.i,.i,.i,.i,.i,42.8, 1, 1,.i,.i,.i,.i,.i, 2,.i, 2,.i, 2, 3,2022,   5, .i,10,.i,12,1.09600000000000000e+03,   1,2661,1.45249999999999990e+00,1.45253730316980190e+00,                     .y,                     .y,                     .y,1.0000,1.000,1.08359399657764643e+00
 1, 2,4610,48,8180, 5,.i, 1,  .i,38,  .i,4700,5790, 2,4850,45,1870,5240,31,4970, 1, 0,27,.i, 1, 1, 2,.i,.i, 1, 1, 2, 1, 1, 1, 1,.i, 0, 1, 1, 0, 0, 0, 2, 1, 2,12,12, 2,  24, 1, 1, 1, 4, 2, 1, 1, 2, 1, 1, 1, 1, 3, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 4, 2, 1, 5, 1, 1, 5, 2, 1, 5, 1, 4,.i, 0,.i, 2,.i,.i, 2,.i, 1, 1, 1,.i,.i,.i, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3,.i, 1,.i, 2, 3, 3,.i,.i, 3, 4, 2, 1, 2,.i,.i,.i,.i,.i,20.1, 1, 1,.i,.i,.i,.i,.i, 1,.i, 2,.i, 2, 3,2022,   6, .i,10,.i,12,1.08500000000000000e+03,   1,2661,1.35719999999999996e+00,1.35721705175813434e+00,                     .y,                     .y,                     .y,1.0000,1.000,1.19679167777315199e+00
 2, 2,1105,61,8090, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 2,9620,25,4470,  .i,.i,  .i, 3,.i,20,.i, 1, 1, 0,.i,.i, 2, 3, 2, 1, 1, 3, 1,.i, 4, 2, 2,.i,.i,.i, 1,.i, 1,12,12, 2,  24, 2, 3, 2, 3,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3,.d, 2, 2, 1, 1, 1, 3,.i, 4,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 4,.i, 1, 1, 1,.i,.i, 2,.i,.i, 2, 2, 3, 1, 2, 2, 2,.d, 2, 2, 3, 3, 2, 2,.d, 1, 2, 2,.i, 1,.i, 3, 1, 2,.i,.i, 3, 4, 2,.i, 2,.i,.i,.i,.i,.i,74.8, 4, 1, 1, 1, 1, 2, 2, 1,.i, 2,.i, 1, 3,2022,   7, .i,10,.i,12,1.10400000000000000e+03,   1,2661,4.12300000000000000e-01,4.12264397589298615e-01,                     .y,                     .y,                     .y,1.0000,1.000,3.85398373610434386e-01
 1, 2,2200,74,7870, 1, 1,.i,2200,74,7870,  .i,  .i, 1,9130,35,4470,5140,40, 580, 3,.i,47,.i, 4, 0, 4, 4,16, 1, 1, 9, 3, 1, 2, 1,.i, 4, 1, 2,.i,.i,.i, 2, 0, 2,12,12, 2,  24, 0, 1, 1, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 1, 1, 1, 1, 2, 1, 1,.i, 4,.i,.i, 5,.i,.i,.i,.i,.i, 4,.i, 4,.i, 1,.i, 2,.i, 4, 2, 1,.i, 2, 2,.i,.i,.i, 3, 3, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2,.i, 4,.i, 1, 2, 5,.i,.i, 1, 4, 2,.i, 2,.i,.i,.i,.i,.i,84.5, 1, 1,.i,.i,.i,.i,.i, 1,.i, 2,.i, 2, 3,2022,   8, .i,10,.i,12,1.09300000000000000e+03,   1,2661,6.09500000000000042e-01,6.09534167184781817e-01,                     .y,                     .y,                     .y,1.0000,1.000,5.80154183383690847e-01
 1, 2,4110,31,8680, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 1, 310,39,8680,4110,31,8680, 4,.i,31,28, 1, 1, 0,.i,.i, 2, 1, 5, 3, 0, 3, 1,.i, 0, 1, 1,.i,.i,.i, 1, 0, 1,11,10, 2,  24, 2, 1, 1, 3,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.d,.d,.d, 2, 1, 2, 1,.i,.i, 5,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 4,.i, 0,.d, 2,.i,.i, 2,.i,.i, 2, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 5, 3, 3, 3, 4, 1, 2, 4,.i,.i, 2, 3, 3, 3, 3, 7,19.6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022,   9, .i,10,.i,12,1.09700000000000000e+03,   1,2661,4.75600000000000023e-01,4.75611945185864138e-01,                     .y,                     .y,                     .y,1.0000,1.000,4.20591035086939069e-01
 5, 2,3600,48,8170, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 2,9620,25,2570,  .i,.i,  .i, 6,.i,72,21, 1,.i,.i,.i,.i, 2,.i, 2, 1, 0, 2, 1,.i,.i, 1, 1,.i,.i,.i, 1,.i, 0, 9,.i, 2,  24, 0, 1, 1, 4,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 1,.d, 2, 1,.d, 2, 7,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 5,.i, 7,.d, 1,.i,.i, 2,.i,.i, 1,.i, 1, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2,.d, 3, 1,.i, 2,.i, 1, 3, 3, 4, 4,.i,.i, 2,.i, 1, 3, 3, 3, 3, 4,24.2, 0,.i,.i,.i,.i,.i,.i, 2,.i, 2,.i, 2, 3,2022,  10, .i,10,.i,12,1.09800000000000000e+03,   1,2661,4.78499999999999981e-01,4.78539283577427754e-01,                     .y,                     .y,                     .y,1.0000,1.000,4.30544895710333386e-01
